GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
318,2185.51,5014.75,6198.95,608.21,357.79,-314.39,-4467.01,-36646.51,1869.13,18307.6,-8613.97,247.83,-6885.97,-8366.13,-15252.1
319,2147.63,4937.87,6212.77,600.75,335.75,-308.08,-4514.07,-36469.57,1836.44,18403.17,-8765.74,249.67,-6817.34,-8516.06,-15333.4
320,2194.07,5027.58,6239.94,621.09,340.22,-299.43,-4567.4,-36526.92,1842.52,18329.52,-8634.83,243.11,-6798.82,-8391.72,-15190.54
321,2162.84,5090.83,6223.96,637.47,368.32,-279.32,-4526.67,-36673.48,1853.89,18302.72,-8555.62,243.81,-6839.43,-8311.81,-15151.25
322,2136.82,5059.0,6198.37,607.16,330.36,-288.57,-4489.71,-36676.99,1848.1,18353.21,-8584.24,242.21,-6922.27,-8342.03,-15264.3
323,2217.78,4902.81,6221.3,597.0,336.32,-286.44,-4526.38,-36501.17,1820.63,18323.58,-8672.06,241.82,-6894.56,-8430.25,-15324.81
324,2156.24,5083.73,6188.71,627.34,330.03,-327.83,-4546.86,-36321.4,1866.3,18276.73,-8795.05,244.11,-6667.02,-8550.95,-15217.96
325,2171.08,5055.74,6223.45,608.8,337.04,-309.98,-4512.52,-36492.65,1861.94,18325.93,-8677.47,242.12,-6731.17,-8435.35,-15166.52
326,2173.21,5113.16,6233.83,605.51,337.02,-310.44,-4514.82,-36513.99,1872.26,18095.9,-8568.92,245.29,-6908.35,-8323.63,-15231.98
327,2186.99,5122.29,6250.4,635.68,325.12,-302.58,-4559.9,-36418.49,1825.24,18143.01,-8640.09,240.76,-6792.23,-8399.33,-15191.56
328,2197.68,5069.61,6217.59,615.23,348.62,-306.77,-4547.6,-36437.65,1831.01,18265.84,-8669.93,242.92,-6746.42,-8427.01,-15173.43
329,2134.93,5029.57,6189.03,616.48,330.98,-284.7,-4552.27,-36635.24,1856.05,18376.01,-8521.68,240.77,-6939.17,-8280.91,-15220.07
330,2217.08,5085.05,6292.26,607.22,333.81,-275.9,-4549.88,-36346.09,1845.17,18182.72,-8724.14,245.05,-6608.56,-8479.09,-15087.65
331,2170.82,5058.14,6240.26,621.79,321.25,-297.41,-4507.99,-36442.78,1845.36,18172.29,-8635.1,243.85,-6818.27,-8391.25,-15209.52
332,2170.19,5088.33,6205.12,635.0,322.23,-293.57,-4511.21,-36499.65,1870.4,18255.36,-8650.64,245.07,-6757.79,-8405.57,-15163.36
333,2273.31,5090.41,6246.29,615.48,349.3,-312.71,-4531.8,-36471.06,1809.6,18106.7,-8615.74,243.06,-6824.5,-8372.68,-15197.18
334,2170.09,5047.05,6255.67,632.08,344.14,-321.08,-4511.44,-36380.51,1826.56,18261.7,-8751.74,239.84,-6675.73,-8511.9,-15187.63
335,2128.3,5101.76,6218.64,604.47,346.42,-308.44,-4572.28,-36396.2,1832.0,18253.7,-8718.33,239.85,-6791.63,-8478.48,-15270.11
336,2083.89,5117.06,6183.63,617.92,314.75,-262.41,-4528.64,-36462.1,1830.14,18317.73,-8746.08,244.86,-6788.04,-8501.22,-15289.26
337,2128.15,4990.51,6188.46,600.51,312.41,-274.62,-4530.91,-36179.78,1806.45,18323.35,-8968.23,245.46,-6635.46,-8722.77,-15358.23
338,2143.8,5063.93,6276.63,615.66,332.67,-315.34,-4557.28,-36424.7,1855.95,18354.86,-8752.79,244.35,-6653.82,-8508.44,-15162.25
339,2167.09,5080.6,6206.84,607.32,335.66,-317.72,-4517.38,-36438.88,1855.28,18198.19,-8668.85,242.87,-6823.0,-8425.98,-15248.98
340,2123.46,5025.75,6180.43,627.96,340.86,-293.86,-4544.78,-36501.02,1844.7,18319.09,-8680.71,243.86,-6877.4,-8436.85,-15314.25
341,2117.01,5090.11,6204.43,603.46,343.32,-299.35,-4569.04,-36499.57,1812.51,18243.97,-8656.18,242.33,-6953.14,-8413.85,-15366.99
342,2172.79,5154.6,6226.61,628.14,355.33,-307.97,-4562.4,-36438.05,1890.4,18295.92,-8709.49,242.47,-6584.63,-8467.02,-15051.65
343,2178.98,5133.38,6167.23,632.18,326.37,-303.63,-4587.57,-36520.04,1843.6,18206.19,-8538.54,237.99,-6923.3,-8300.55,-15223.85
344,2167.92,5182.1,6204.25,618.45,343.89,-287.6,-4522.82,-36417.18,1849.62,18190.61,-8747.62,240.0,-6670.76,-8507.62,-15178.38
345,2204.83,5064.56,6180.0,609.83,324.11,-294.91,-4523.04,-36507.78,1824.09,18234.76,-8675.01,240.94,-6883.54,-8434.08,-15317.62
346,2192.63,5093.24,6237.4,608.3,353.35,-323.09,-4528.58,-36472.62,1817.08,18284.34,-8707.31,240.81,-6737.95,-8466.5,-15204.45
347,2203.74,5163.02,6150.89,633.47,328.36,-295.39,-4508.0,-36423.94,1853.84,18226.93,-8697.64,238.73,-6667.07,-8458.91,-15125.97
348,2183.14,5033.68,6213.5,629.95,334.6,-294.57,-4478.1,-36346.43,1864.64,18248.19,-8797.42,244.35,-6611.41,-8553.06,-15164.47
